time,amplitude
9.968950000000e-05,4.091307374039e-11
9.969000000000e-05,2.174818030718e-11
9.969050000000e-05,-2.370870823079e-12
9.969100000000e-05,-2.595010750517e-11
9.969150000000e-05,-4.361846584302e-11
9.969200000000e-05,-5.135125334774e-11
9.969250000000e-05,-4.738693754438e-11
9.969300000000e-05,-3.262842386125e-11
9.969350000000e-05,-1.043741151873e-11
9.969400000000e-05,1.413133545146e-11
9.969450000000e-05,3.548138405160e-11
9.969500000000e-05,4.874942514056e-11
9.969550000000e-05,5.091308242487e-11
9.969600000000e-05,4.147939076454e-11
9.969650000000e-05,2.259711276689e-11
9.969700000000e-05,-1.432696409952e-12
9.969750000000e-05,-2.513639476155e-11
9.969800000000e-05,-4.311456969657e-11
9.969850000000e-05,-5.127195819093e-11
9.969900000000e-05,-4.775031006738e-11
9.969950000000e-05,-3.335169671889e-11
9.970000000000e-05,-1.135583570095e-11
9.970050000000e-05,1.322696365313e-11
9.970100000000e-05,3.479706947339e-11
9.970150000000e-05,4.844104836397e-11
9.970200000000e-05,5.105089161062e-11
9.970250000000e-05,4.203199913731e-11
9.970300000000e-05,2.343864712029e-11
9.970350000000e-05,-4.939242982410e-13
9.970400000000e-05,-2.431422458303e-11
9.970450000000e-05,-4.259628279929e-11
9.970500000000e-05,-5.117561694276e-11
9.970550000000e-05,-4.809786402026e-11
9.970600000000e-05,-3.406398181400e-11
9.970650000000e-05,-1.227060585245e-11
9.970700000000e-05,1.231807973768e-11
9.970750000000e-05,3.410110435309e-11
9.970800000000e-05,4.811653639813e-11
9.970850000000e-05,5.117175631126e-11
9.970900000000e-05,4.257071346462e-11
9.970950000000e-05,2.427250278957e-11
9.971000000000e-05,4.451336617030e-13
9.971050000000e-05,-2.348386905716e-11
9.971100000000e-05,-4.206377549739e-11
9.971150000000e-05,-5.106225940434e-11
9.971200000000e-05,-4.842948186926e-11
9.971250000000e-05,-3.476504104923e-11
9.971300000000e-05,-1.318141754672e-11
9.971350000000e-05,1.140498511684e-11
9.971400000000e-05,3.339371842980e-11
9.971450000000e-05,4.777599497709e-11
9.971500000000e-05,5.127563416962e-11
9.971550000000e-05,4.309535294507e-11
9.971600000000e-05,2.509840171201e-11
9.971650000000e-05,1.384165484113e-12
9.971700000000e-05,-2.264560302662e-11
9.971750000000e-05,-4.151722288433e-11
9.971800000000e-05,-5.093192103480e-11
9.971850000000e-05,-4.874505136065e-11
9.971900000000e-05,-3.545464002653e-11
9.971950000000e-05,-1.408796763312e-11
9.972000000000e-05,1.048798264060e-11
9.972050000000e-05,3.267514526734e-11
9.972100000000e-05,4.741953517487e-11
9.972150000000e-05,5.136248846746e-11
9.972200000000e-05,4.360574143060e-11
9.972250000000e-05,2.591606843271e-11
9.972300000000e-05,2.322859151455e-12
9.972350000000e-05,-2.179970399823e-11
9.972400000000e-05,-4.095680474325e-11
9.972450000000e-05,-5.078464294026e-11
9.972500000000e-05,-4.904446555870e-11
9.972550000000e-05,-3.613254812544e-11
9.972600000000e-05,-1.498995433775e-11
9.972650000000e-05,9.567376496674e-12
9.972700000000e-05,3.194562217711e-11
9.972750000000e-05,4.704727336930e-11
9.972800000000e-05,5.143228813837e-11
9.972850000000e-05,4.410170748566e-11
9.972900000000e-05,2.672523019647e-11
9.972950000000e-05,3.260902718107e-12
9.973000000000e-05,-2.094645205107e-11
9.973050000000e-05,-4.038270548787e-11
9.973100000000e-05,-5.062047186094e-11
9.973150000000e-05,-4.932762288193e-11
9.973200000000e-05,-3.679853858031e-11
9.973250000000e-05,-1.588707736390e-11
9.973300000000e-05,8.643472109670e-12
9.973350000000e-05,3.120539013973e-11
9.973400000000e-05,4.665933120396e-11
9.973450000000e-05,5.148500777885e-11
9.973500000000e-05,4.458308444478e-11
9.973550000000e-05,2.752561703875e-11
9.973600000000e-05,4.197984414019e-12
9.973650000000e-05,-2.008612974378e-11
9.973700000000e-05,-3.979511410174e-11
9.973750000000e-05,-5.043946015632e-11
9.973800000000e-05,-4.959442713749e-11
9.973850000000e-05,-3.745238855604e-11
9.973900000000e-05,-1.677903799204e-11
9.973950000000e-05,7.716576039723e-12
9.974000000000e-05,3.045469372543e-11
9.974050000000e-05,4.625583554851e-11
9.974100000000e-05,5.152062765744e-11
9.974150000000e-05,4.504971046855e-11
9.974200000000e-05,2.831696187576e-11
9.974250000000e-05,5.133792748341e-12
9.974300000000e-05,-1.921902202097e-11
9.974350000000e-05,-3.919422407614e-11
9.974400000000e-05,-5.024166578848e-11
9.974450000000e-05,-4.984478755392e-11
9.974500000000e-05,-3.809387922274e-11
9.974550000000e-05,-1.766553917929e-11
9.974600000000e-05,6.786995880784e-12
9.974650000000e-05,2.969378101325e-11
9.974700000000e-05,4.583691845717e-11
9.974750000000e-05,5.153913372209e-11
9.974800000000e-05,4.550142859801e-11
9.974850000000e-05,2.909900059357e-11
9.974900000000e-05,6.068016612959e-12
9.974950000000e-05,-1.834541611883e-11
9.975000000000e-05,-3.858023334626e-11
9.975050000000e-05,-5.002715230356e-11
9.975100000000e-05,-5.007861881194e-11
9.975150000000e-05,-3.872279582887e-11
9.975200000000e-05,-1.854628565834e-11
9.975250000000e-05,5.855040158547e-12
9.975300000000e-05,2.892290350907e-11
9.975350000000e-05,4.540271712551e-11
9.975400000000e-05,5.154051760547e-11
9.975450000000e-05,4.593808680750e-11
9.975500000000e-05,2.987147213626e-11
9.975550000000e-05,7.000345385922e-12
9.975600000000e-05,-1.746560147001e-11
9.975650000000e-05,-3.795334422609e-11
9.975700000000e-05,-4.979598881139e-11
9.975750000000e-05,-5.029584107352e-11
9.975800000000e-05,-3.933892777322e-11
9.975850000000e-05,-1.942098403578e-11
9.975900000000e-05,4.921018228045e-12
9.975950000000e-05,2.814231606248e-11
9.976000000000e-05,4.495337384556e-11
9.976050000000e-05,5.152477662857e-11
9.976100000000e-05,4.635953805576e-11
9.976150000000e-05,3.063411859307e-11
9.976200000000e-05,7.930469034725e-12
9.976250000000e-05,-1.657986960774e-11
9.976300000000e-05,-3.731376334171e-11
9.976350000000e-05,-4.954824996323e-11
9.976400000000e-05,-5.049638000915e-11
9.976450000000e-05,-3.994206867534e-11
9.976500000000e-05,-2.028934288983e-11
9.976550000000e-05,3.985240170966e-12
9.976600000000e-05,2.735227678252e-11
9.976650000000e-05,4.448903595914e-11
9.976700000000e-05,5.149191380227e-11
9.976750000000e-05,4.676564033543e-11
9.976800000000e-05,3.138668528449e-11
9.976850000000e-05,8.858078219404e-12
9.976900000000e-05,-1.568851406916e-11
9.976950000000e-05,-3.666170156321e-11
9.977000000000e-05,-4.928401592769e-11
9.977050000000e-05,-5.068016682323e-11
9.977100000000e-05,-4.053201644473e-11
9.977150000000e-05,-2.115107286748e-11
9.977200000000e-05,3.048016692709e-12
9.977250000000e-05,2.655304695232e-11
9.977300000000e-05,4.400985580962e-11
9.977350000000e-05,5.144193782711e-11
9.977400000000e-05,4.715625672095e-11
9.977450000000e-05,3.212892084732e-11
9.977500000000e-05,9.782864395415e-12
9.977550000000e-05,-1.479183029814e-11
9.977600000000e-05,-3.599737393518e-11
9.977650000000e-05,-4.900337236477e-11
9.977700000000e-05,-5.084713827765e-11
9.977750000000e-05,-4.110857334852e-11
9.977800000000e-05,-2.200588678083e-11
9.977850000000e-05,2.109659019222e-12
9.977900000000e-05,2.574489094274e-11
9.977950000000e-05,4.351599069186e-11
9.978000000000e-05,5.137486309113e-11
9.978050000000e-05,4.753125541467e-11
9.978100000000e-05,3.286057731863e-11
9.978150000000e-05,1.070451991627e-11
9.978200000000e-05,-1.389011554726e-11
9.978250000000e-05,-3.532099960574e-11
9.978300000000e-05,-4.870641039818e-11
9.978350000000e-05,-5.099723671353e-11
9.978400000000e-05,-4.167154607775e-11
9.978450000000e-05,-2.285349970288e-11
9.978500000000e-05,1.170478793647e-12
9.978550000000e-05,2.492807612488e-11
9.978600000000e-05,4.300760280067e-11
9.978650000000e-05,5.129070966581e-11
9.978700000000e-05,4.789050979130e-11
9.978750000000e-05,3.358141021859e-11
9.978800000000e-05,1.162273813586e-11
9.978850000000e-05,-1.298366877933e-11
9.978900000000e-05,-3.463280175434e-11
9.978950000000e-05,-4.839322658570e-11
9.979000000000e-05,-5.113041007108e-11
9.979050000000e-05,-4.222074581215e-11
9.979100000000e-05,-2.369362906243e-11
9.979150000000e-05,2.307879728280e-13
9.979200000000e-05,2.410287278164e-11
9.979250000000e-05,4.248485917751e-11
9.979300000000e-05,5.118950330016e-11
9.979350000000e-05,4.823389844070e-11
9.979400000000e-05,3.429117863214e-11
9.979450000000e-05,1.253721351051e-11
9.979500000000e-05,-1.207279056826e-11
9.979550000000e-05,-3.393300751804e-11
